LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,label
606,4000,1333,2667,815,800,800,800,800,800,800,1139,858,947,964,944,1247,27,20,25,39,56,42,0
364,4000,667,2667,667,800,800,800,800,1600,800,687,390,453,546,523,894,23,33,45,0,27,15,1
283,0,667,2667,593,800,800,800,800,800,800,847,551,549,521,490,861,15,8,7,10,15,12,0
40,4000,1333,1333,444,800,800,400,400,0,0,612,273,272,334,323,714,5,3,0,0,0,0,0
162,4000,667,2667,667,0,0,0,0,0,0,586,273,268,334,323,714,9,0,0,0,0,0,0
364,0,1333,2667,963,1600,1600,1600,1600,1600,1600,778,485,521,578,553,926,24,5,13,0,45,19,1
444,4000,667,2667,370,800,800,800,800,800,800,627,311,327,396,389,778,6,4,9,13,19,15,0
1980,0,1333,1333,889,800,800,800,800,800,800,901,609,638,704,641,978,28,17,45,16,28,110,0
40,4000,1333,2667,370,800,800,800,800,800,800,676,356,361,407,333,711,14,5,5,0,226,159,0
646,4000,1333,1333,593,0,0,0,0,0,0,583,262,265,331,318,709,0,0,0,0,0,0,0
1131,0,667,2667,741,1600,800,800,800,800,800,745,435,422,453,434,725,12,6,8,0,0,18,1
404,4000,667,2667,148,800,800,800,800,800,800,764,472,524,589,582,950,23,16,22,32,47,21,0
687,0,667,2667,741,800,800,800,800,800,800,904,516,530,550,484,825,14,10,9,8,9,8,0
81,4000,1333,2667,74,800,800,800,800,800,800,658,347,351,430,393,783,7,7,22,0,51,2,0
1616,0,1333,1333,1852,400,400,400,400,400,400,604,276,327,356,343,725,13,44,23,38,29,48,0
970,0,667,1333,2370,1200,400,400,400,400,400,586,281,362,334,363,741,19,85,0,66,72,0,1
40,4000,1333,1333,963,1200,1600,1600,1600,800,800,650,331,358,416,401,781,0,12,0,6,19,5,0
162,4000,1333,1333,963,1200,1600,800,800,800,800,761,447,480,453,434,818,0,7,5,6,19,30,0
81,4000,2000,1333,1704,1600,1600,1600,1600,1600,1600,655,343,356,423,409,787,8,0,9,5,0,15,1
687,4000,1333,1333,1037,400,400,800,800,800,800,590,285,305,369,353,727,24,11,12,13,1,0,0
121,4000,1333,1333,667,1600,1600,1600,1600,1600,1600,637,323,340,402,388,769,7,5,3,4,0,12,1
283,4000,1333,2667,667,800,400,400,400,800,400,661,274,251,426,408,721,12,0,121,9,18,21,0
1576,4000,1333,1333,1852,800,800,800,800,800,800,740,416,430,498,462,837,69,49,45,97,188,152,0
1939,4000,1333,1333,667,800,800,800,800,800,800,1268,1016,1148,1180,1103,1364,46,24,33,41,60,46,0
1172,4000,667,2667,1185,1200,1600,800,800,800,800,707,376,382,426,397,767,0,5,3,4,9,4,0
