f1,f2,f3,f4,label
70,58,5,65,1
77,63,100,15,1
20,25,48,4,0
62,15,19,50,1
82,70,28,71,1
80,23,90,11,0
63,85,80,55,0
97,33,68,33,0
61,25,41,56,0
16,18,26,27,0
19,18,20,91,0
81,13,96,77,1
19,44,71,85,0
72,19,91,85,0
80,23,22,93,0
51,7,48,23,0
79,43,27,47,0
49,31,81,92,1
31,8,82,14,0
34,50,87,62,1
30,0,62,85,1
71,39,98,15,0
41,19,1,84,1
99,49,22,51,0
65,100,36,84,1
73,92,60,84,1
8,40,93,35,0
5,46,40,32,0
22,80,84,8,1
54,92,34,9,1
98,86,43,42,1
2,72,85,11,0
48,75,27,75,1
70,63,45,23,1
0,17,2,32,0
20,85,1,9,0
83,63,12,17,0
11,19,39,9,0
73,31,96,91,1
79,51,59,68,1
58,51,4,72,0
60,27,9,21,0
61,29,10,77,0
23,16,56,83,0
97,3,58,43,0
67,68,79,60,1
53,45,30,81,0
80,87,73,89,1
25,14,77,11,0
48,42,39,24,1
65,86,92,100,1
42,23,29,15,0
20,15,75,8,0
3,99,44,62,0
34,36,72,81,1
36,61,0,91,1
17,53,71,59,1
39,69,85,97,1
51,38,73,57,1
39,11,53,25,0
44,54,88,4,1
42,4,2,52,0
40,89,28,60,1
75,94,49,34,1
78,23,59,56,1
81,72,83,45,1
89,48,28,41,1
88,47,75,59,1
22,47,44,14,0
20,59,52,86,1
38,30,10,40,0
67,79,71,72,1
78,50,44,36,1
55,31,38,42,0
37,95,28,39,0
100,9,39,78,1
72,77,75,31,1
31,90,33,35,0
36,28,73,34,0
33,2,67,97,0
84,89,71,21,1
6,75,42,64,0
77,92,61,92,1
73,85,68,82,1
66,74,34,12,1
13,1,97,73,0
7,88,22,14,0
97,5,61,41,1
66,44,24,36,0
100,52,47,43,1
74,16,99,16,1
1,5,38,35,0
38,48,8,18,0
28,72,6,3,0
94,45,13,17,0
26,93,59,42,0
45,67,90,76,1
42,74,43,80,1
60,0,71,55,0
10,73,78,27,0
