age,study_hours,sleep_hours,attendance_pct,prev_score,label
23,5,4,70,12,0
29,12,5,56,74,1
22,3,9,53,66,0
25,9,7,90,17,1
27,2,6,94,94,1
20,2,4,82,69,1
22,10,10,93,41,1
26,12,4,87,23,1
18,4,10,84,61,1
24,7,9,74,73,1
21,3,10,60,75,0
26,6,6,56,45,0
18,2,6,79,91,1
22,6,6,53,66,1
26,12,10,72,94,1
21,11,8,60,99,1
24,11,10,80,17,1
20,0,9,82,34,0
20,10,8,99,21,1
21,12,9,70,94,1
30,9,7,60,71,1
20,5,4,98,13,1
23,11,10,92,81,1
30,4,7,61,70,1
27,12,6,61,82,1
20,12,5,65,35,1
27,9,5,88,1,0
27,11,9,76,50,1
29,7,4,58,52,1
22,5,10,53,74,1
21,2,4,80,36,0
18,11,5,89,9,1
30,1,8,64,31,0
21,8,8,61,17,1
25,1,4,87,28,0
18,11,4,76,2,0
20,7,7,92,4,1
22,6,4,93,95,1
18,7,7,58,50,1
29,8,9,72,1,1
23,3,7,61,25,0
19,7,10,77,84,1
21,10,4,63,25,0
19,0,9,100,79,1
29,1,7,69,17,0
29,1,7,72,35,0
22,1,9,62,58,1
25,10,7,83,46,1
24,12,4,77,88,1
22,9,6,61,79,0
22,6,10,54,60,1
23,1,8,85,56,1
19,7,8,89,72,1
22,11,5,52,21,1
21,7,6,67,98,1
30,7,5,64,34,1
30,5,10,62,64,0
27,4,7,86,97,0
20,5,10,68,98,1
29,3,7,98,17,1
27,0,6,94,59,1
26,6,9,95,34,1
18,0,8,71,29,0
23,10,6,80,94,1
20,1,7,96,35,1
30,9,8,51,4,0
21,7,8,54,33,0
18,4,7,91,81,1
19,4,5,79,64,0
26,4,6,63,58,1
29,6,4,84,96,1
28,5,7,66,53,0
20,10,7,98,29,1
30,12,4,73,84,1
29,1,8,73,66,0
27,0,4,59,57,0
29,2,8,57,1,0
22,5,4,94,58,1
26,6,4,68,30,1
30,6,4,71,4,0
21,7,6,77,75,1
21,0,7,80,82,1
21,0,10,75,60,0
19,8,5,61,94,1
24,7,8,91,35,1
27,0,10,82,57,0
26,6,6,63,64,0
28,9,10,52,49,0
21,9,7,63,38,0
20,11,8,94,79,1
26,12,7,75,3,0
23,12,9,70,2,0
28,4,8,58,17,0
29,7,4,66,82,0
24,12,9,98,9,1
24,10,9,78,3,1
21,2,10,53,97,1
30,2,8,93,1,0
30,9,8,61,98,1
27,1,9,86,68,0
