age,study_hours,sleep_hours,attendance_pct,prev_score,label
28,1,4,97,35,1
20,11,4,93,94,1
19,9,7,52,3,1
21,8,8,51,71,1
28,11,8,76,28,1
22,12,10,50,97,1
29,6,6,67,19,1
30,5,4,55,48,1
23,9,6,52,93,1
19,6,4,85,37,0
27,5,8,62,90,1
28,3,10,68,10,0
19,6,6,79,81,1
20,5,6,63,85,1
28,10,4,88,81,1
29,3,5,79,48,1
28,11,8,64,87,1
30,12,4,64,4,0
24,4,4,63,72,0
23,3,9,81,50,0
28,7,5,66,17,1
26,8,6,97,74,1
27,6,6,64,17,0
19,12,4,57,19,0
30,10,7,88,8,1
27,7,8,66,70,0
18,10,9,57,87,0
30,4,10,91,43,1
24,2,7,50,92,0
22,8,10,61,64,0
28,4,10,90,64,1
20,5,10,60,69,0
26,0,8,70,62,1
23,12,6,65,7,1
27,1,4,96,62,0
30,8,10,58,16,0
26,2,6,83,77,1
21,8,10,96,88,1
22,6,9,91,47,1
26,7,4,65,28,1
18,9,8,64,75,1
19,11,9,53,29,1
18,5,4,82,30,1
25,3,8,58,92,0
27,9,7,65,100,1
24,3,4,56,84,1
24,6,7,96,6,0
28,1,4,75,93,1
19,3,5,62,68,1
24,2,6,79,31,0
19,7,10,85,12,1
26,0,4,98,30,1
25,7,5,75,7,1
18,6,6,100,100,1
24,11,9,100,71,1
25,2,5,68,27,0
27,11,8,53,95,1
18,9,7,82,67,1
26,1,10,61,8,0
28,3,7,57,72,1
27,0,8,55,53,0
27,8,6,66,26,0
23,3,6,75,16,0
22,7,6,98,9,1
27,9,4,54,68,1
22,2,6,54,31,0
20,7,10,84,90,1
30,10,8,50,85,0
22,10,4,58,33,1
19,11,8,59,34,1
21,11,6,63,87,1
22,8,7,66,6,1
24,4,4,50,42,0
28,4,5,97,56,1
24,8,4,57,9,0
29,2,8,52,47,0
20,6,5,52,39,0
30,0,6,63,87,1
19,5,10,85,52,0
29,2,5,60,22,0
18,2,9,71,100,0
30,10,10,97,31,1
30,11,4,74,4,0
21,3,10,79,44,1
30,3,5,51,84,1
23,4,10,54,98,1
28,8,7,93,68,1
18,1,6,61,74,0
22,0,4,88,55,1
30,5,7,88,65,1
27,3,6,52,90,0
26,12,8,93,92,1
29,10,5,73,55,1
28,5,8,70,84,0
29,4,8,69,85,1
24,11,6,85,16,1
28,6,9,97,22,1
22,6,8,50,38,0
24,12,8,88,83,1
25,7,9,63,65,1
30,11,5,92,10,1
28,10,8,71,11,0
30,3,9,69,28,0
20,0,4,65,60,0
30,1,7,76,80,0
29,11,7,81,51,1
28,11,4,98,98,1
30,6,5,61,89,1
18,8,5,57,58,1
25,10,8,85,76,1
30,7,8,96,64,1
26,7,5,97,60,1
30,3,10,90,35,0
26,7,9,65,35,1
29,4,5,67,42,0
26,1,5,59,29,0
20,11,5,54,53,1
26,7,7,53,26,0
24,12,8,94,2,1
30,9,7,80,0,0
22,12,7,76,68,1
26,12,8,64,62,1
24,7,4,74,43,0
30,6,9,60,59,0
27,8,4,75,75,1
18,1,9,77,17,0
20,0,6,74,41,1
23,5,10,74,35,0
24,4,10,55,60,1
26,0,6,64,83,1
28,0,10,51,31,0
18,9,5,65,16,1
19,9,5,79,89,1
23,2,8,88,95,1
30,2,6,56,74,1
22,9,9,74,50,0
21,1,8,94,80,1
29,12,6,93,76,1
30,9,10,52,44,0
28,5,4,82,82,1
24,7,4,77,46,1
25,11,5,77,22,1
28,4,8,84,99,1
24,11,8,67,41,0
19,4,7,65,96,1
27,10,7,71,3,0
23,2,7,63,45,0
23,4,8,94,35,1
26,3,4,65,92,1
26,12,5,94,60,1
25,7,10,51,11,0
24,11,5,69,84,1
25,8,8,72,54,0
26,5,6,94,58,1
22,3,4,96,24,1
29,8,10,94,23,1
29,7,6,96,75,0
26,9,6,56,24,1
23,2,6,50,90,0
22,0,4,85,37,0
20,10,10,98,62,1
18,9,6,80,61,1
20,0,6,80,14,0
24,7,4,86,80,1
20,2,10,86,38,1
21,1,8,98,53,1
30,9,5,99,66,1
25,4,10,87,54,1
27,0,8,97,12,0
21,10,5,66,84,1
21,2,8,54,20,1
25,11,8,80,37,1
22,11,6,94,58,1
21,4,10,100,80,1
30,3,7,57,69,1
20,4,10,59,9,1
30,4,8,97,72,0
25,1,7,94,38,0
22,8,8,81,56,1
18,6,9,70,77,1
19,3,9,86,75,0
30,10,10,67,73,1
30,2,7,83,83,1
22,2,8,77,81,0
19,7,6,76,42,1
19,2,6,76,88,1
28,6,10,98,70,1
19,5,6,70,14,0
24,8,10,50,84,0
25,6,4,62,66,1
30,7,9,78,97,1
22,8,5,68,56,0
25,1,4,90,77,0
29,2,6,85,1,0
19,3,10,57,59,0
28,2,7,95,37,1
22,6,10,80,60,1
26,2,7,62,76,0
20,1,6,99,53,1
30,8,6,50,36,0
27,9,9,81,19,1
25,5,6,85,97,1
25,5,10,62,89,1
24,3,10,99,52,1
29,7,9,74,49,0
30,10,5,81,4,1
27,5,10,56,56,1
25,0,9,59,52,0
20,1,7,100,33,1
29,6,9,55,42,0
26,6,6,90,91,1
25,8,4,89,8,1
28,4,5,97,11,1
19,12,9,95,12,1
29,4,4,52,41,0
22,5,6,77,18,1
24,9,9,100,23,1
19,9,10,74,79,1
25,9,5,64,59,1
25,4,9,50,59,0
28,8,5,54,56,0
27,4,9,77,88,1
22,3,7,80,13,1
27,5,8,68,89,1
28,6,6,50,72,0
30,11,4,88,95,1
22,12,10,64,77,1
21,10,5,89,32,1
29,12,9,93,17,1
28,10,4,69,100,1
27,5,9,58,11,0
23,11,7,61,25,1
26,5,8,82,34,0
