mode,batch,workers,keys,features,samples,run,constraints,setup_seconds,predict_seconds,prove_total_seconds,prove_per_sample,wall_per_sample,proof_bytes,accuracy
label,10,1,0,23,800,1,229009,2.8323,316.1588,314.3984,0.39300,0.39520,584,82.12
label,10,1,0,23,800,2,229009,2.6292,313.0881,311.3154,0.38914,0.39136,584,82.12
label,10,1,0,23,800,3,229009,2.7145,309.9038,308.0644,0.38508,0.38738,584,82.12
label,10,4,0,23,800,1,229009,2.6766,235.8945,923.8782,1.15485,0.29487,584,82.12
label,10,4,0,23,800,2,229009,2.8218,239.3925,928.0686,1.16009,0.29924,584,82.12
label,10,4,0,23,800,3,229009,2.8138,243.7775,947.5435,1.18443,0.30472,584,82.12
label,10,8,0,23,800,1,229009,2.8891,240.8107,1848.8912,2.31111,0.30101,584,82.12
label,10,8,0,23,800,2,229009,2.5053,240.5813,1845.8987,2.30737,0.30073,584,82.12
label,10,8,0,23,800,3,229009,2.7951,241.6599,1853.5595,2.31695,0.30207,584,82.12
label,10,16,0,23,800,1,229009,2.7307,242.7588,3578.8781,4.47360,0.30345,584,82.12
label,10,16,0,23,800,2,229009,2.8448,239.4001,3555.6101,4.44451,0.29925,584,82.12
label,10,16,0,23,800,3,229009,2.7044,245.4738,3622.7632,4.52845,0.30684,584,82.12
label,10,32,0,23,800,1,229009,2.8946,243.2915,3584.7445,4.48093,0.30411,584,82.12
label,10,32,0,23,800,2,229009,2.8322,241.5080,3548.4450,4.43556,0.30188,584,82.12
label,10,32,0,23,800,3,229009,2.8427,247.1997,3632.6416,4.54080,0.30900,584,82.12
label,10,64,0,23,800,1,229009,2.8022,245.9007,3594.1871,4.49273,0.30738,584,82.12
label,10,64,0,23,800,2,229009,2.7693,236.4861,3490.1646,4.36271,0.29561,584,82.12
label,10,64,0,23,800,3,229009,2.7141,245.5773,3661.8927,4.57737,0.30697,584,82.12
label,20,1,0,23,800,1,344099,5.6408,287.3991,285.4255,0.35678,0.35925,584,82.12
label,20,1,0,23,800,2,344099,5.6660,290.2359,288.2818,0.36035,0.36279,584,82.12
label,20,1,0,23,800,3,344099,4.9050,288.6119,286.5762,0.35822,0.36076,584,82.12
label,20,4,0,23,800,1,344099,5.3515,251.1066,978.1421,1.22268,0.31388,584,82.12
label,20,4,0,23,800,2,344099,5.4366,232.4760,888.2240,1.11028,0.29060,584,82.12
label,20,4,0,23,800,3,344099,5.1037,243.8693,930.3699,1.16296,0.30484,584,82.12
label,20,8,0,23,800,1,344099,5.1848,235.4686,1771.5633,2.21445,0.29434,584,82.12
label,20,8,0,23,800,2,344099,5.2190,235.7507,1782.9547,2.22869,0.29469,584,82.12
label,20,8,0,23,800,3,344099,5.2900,221.6314,1639.1084,2.04889,0.27704,584,82.12
label,20,16,0,23,800,1,344099,4.6205,233.8182,3135.2441,3.91906,0.29227,584,82.12
label,20,16,0,23,800,2,344099,4.7177,235.5762,3261.7800,4.07722,0.29447,584,82.12
label,20,16,0,23,800,3,344099,4.6521,234.0863,3102.7544,3.87844,0.29261,584,82.12
label,20,32,0,23,800,1,344099,4.7694,240.5339,3207.8939,4.00987,0.30067,584,82.12
label,20,32,0,23,800,2,344099,5.3137,258.8288,3488.2265,4.36028,0.32354,584,82.12
label,20,32,0,23,800,3,344099,5.3374,252.3790,3378.8615,4.22358,0.31547,584,82.12
label,20,64,0,23,800,1,344099,5.1251,270.0044,3598.6880,4.49836,0.33751,584,82.12
label,20,64,0,23,800,2,344099,5.7663,251.9423,3360.7543,4.20094,0.31493,584,82.12
label,20,64,0,23,800,3,344099,5.1182,251.6810,3348.1540,4.18519,0.31460,584,82.12
label,40,1,0,23,800,1,574279,10.4820,295.9007,292.3701,0.36546,0.36988,584,82.12
label,40,1,0,23,800,2,574279,10.1808,301.1427,297.7099,0.37214,0.37643,584,82.12
label,40,1,0,23,800,3,574279,10.4053,296.1567,292.7385,0.36592,0.37020,584,82.12
label,40,4,0,23,800,1,574279,10.2920,267.2712,1013.8626,1.26733,0.33409,584,82.12
label,40,4,0,23,800,2,574279,9.9404,257.0204,976.3428,1.22043,0.32128,584,82.12
label,40,4,0,23,800,3,574279,9.9053,254.1240,964.6176,1.20577,0.31766,584,82.12
label,40,8,0,23,800,1,574279,9.7605,260.7601,1707.3133,2.13414,0.32595,584,82.12
label,40,8,0,23,800,2,574279,10.5191,260.6043,1709.9578,2.13745,0.32576,584,82.12
label,40,8,0,23,800,3,574279,10.1021,258.0368,1693.1085,2.11639,0.32255,584,82.12
label,40,16,0,23,800,1,574279,9.2630,558.4320,6996.4387,8.74555,0.69804,584,82.12
label,40,16,0,23,800,2,574279,10.3457,558.9295,6846.7229,8.55840,0.69866,584,82.12
label,40,16,0,23,800,3,574279,10.5957,588.4103,7171.5097,8.96439,0.73551,584,82.12
