keys,workers,batch,rep,peak_rss_mb,wall_per_sample,prove_per_sample
1,16,80,1,5276.0,0.19527,0.19147
1,16,80,2,4647.3,0.19437,0.19024
1,16,80,3,3845.1,0.19078,0.18704
2,16,80,1,5504.2,0.17715,0.33693
2,16,80,2,5277.2,0.17351,0.33165
2,16,80,3,5554.8,0.17204,0.32786
4,16,80,1,9873.2,0.17043,0.55788
4,16,80,2,9496.5,0.17442,0.57682
4,16,80,3,9313.1,0.17117,0.56439
8,16,80,1,17931.6,0.19321,1.11787
8,16,80,2,17577.5,0.18683,1.06903
8,16,80,3,18583.4,0.18228,1.04045
16,16,80,1,20206.0,0.23827,1.73360
16,16,80,2,20213.6,0.24609,1.71426
16,16,80,3,20239.4,0.25396,1.77378
